UKCP Local derived uplifts for 2050, 100y RL, 1hr Pr OSGB-1936/EPSG:27700
"easting","northing","Uplift_50","Uplift_95"
92500,12500,15,40
167500,12500,15,40
172500,12500,15,40
167500,17500,15,40
172500,17500,15,40
177500,17500,15,40
137500,22500,15,40
142500,22500,15,40
167500,22500,15,40
172500,22500,15,40
177500,22500,15,40
137500,27500,15,40
142500,27500,15,40
147500,27500,15,40
157500,27500,15,40
162500,27500,15,40
167500,27500,15,40
172500,27500,15,40
177500,27500,15,40
137500,32500,15,40
142500,32500,20,40
147500,32500,20,40
152500,32500,15,40
157500,32500,15,40
162500,32500,15,40
167500,32500,20,40
172500,32500,20,40
177500,32500,15,40
182500,32500,15,40
187500,32500,15,40
142500,37500,20,40
147500,37500,20,40
152500,37500,20,40
157500,37500,15,40
162500,37500,15,40
167500,37500,20,40
172500,37500,20,40
177500,37500,20,40
182500,37500,15,40
187500,37500,15,40
192500,37500,15,40
267500,37500,15,40
272500,37500,15,40
277500,37500,15,35
282500,37500,15,40
157500,42500,15,40
162500,42500,15,40
167500,42500,15,40
172500,42500,20,40
177500,42500,15,40
182500,42500,15,40
187500,42500,15,40
192500,42500,15,40
197500,42500,15,40
202500,42500,15,40
267500,42500,15,35
272500,42500,15,35
277500,42500,15,40
282500,42500,15,40
167500,47500,15,40
172500,47500,20,40
177500,47500,15,40
182500,47500,15,40
187500,47500,15,40
192500,47500,15,40
197500,47500,15,40
202500,47500,15,40
252500,47500,15,35
257500,47500,15,35
262500,47500,15,40
267500,47500,15,40
272500,47500,15,40
277500,47500,15,40
282500,47500,15,40
287500,47500,15,40
172500,52500,20,40
177500,52500,20,40
182500,52500,20,40
187500,52500,20,40
192500,52500,20,40
197500,52500,20,40
202500,52500,20,40
207500,52500,15,40
212500,52500,15,40
217500,52500,15,40
222500,52500,20,40
227500,52500,15,40
232500,52500,15,40
237500,52500,15,35
242500,52500,15,35
247500,52500,15,35
252500,52500,15,35
257500,52500,15,40
262500,52500,15,40
267500,52500,15,40
272500,52500,15,40
277500,52500,15,40
282500,52500,15,40
287500,52500,15,40
292500,52500,15,35
177500,57500,15,40
182500,57500,15,40
187500,57500,20,40
192500,57500,20,40
197500,57500,20,40
202500,57500,20,40
207500,57500,20,40
212500,57500,20,40
217500,57500,20,40
222500,57500,20,40
227500,57500,20,40
232500,57500,15,40
237500,57500,15,40
242500,57500,15,40
247500,57500,15,35
252500,57500,15,40
257500,57500,20,40
262500,57500,20,40
267500,57500,20,40
272500,57500,20,40
277500,57500,15,40
282500,57500,15,40
287500,57500,15,35
292500,57500,15,35
182500,62500,15,40
187500,62500,15,40
192500,62500,20,40
197500,62500,20,40
202500,62500,20,40
207500,62500,20,40
212500,62500,20,40
217500,62500,20,40
222500,62500,20,40
227500,62500,20,40
232500,62500,20,40
237500,62500,20,40
242500,62500,20,40
247500,62500,20,40
252500,62500,20,40
257500,62500,20,40
262500,62500,20,40
267500,62500,20,45
272500,62500,20,40
277500,62500,15,40
282500,62500,15,35
287500,62500,15,35
292500,62500,15,35
187500,67500,20,40
192500,67500,20,40
197500,67500,20,40
202500,67500,20,40
207500,67500,20,40
212500,67500,20,40
217500,67500,20,40
222500,67500,20,40
227500,67500,20,40
232500,67500,20,40
237500,67500,20,40
242500,67500,20,40
247500,67500,20,40
252500,67500,20,40
257500,67500,20,40
262500,67500,20,45
267500,67500,20,45
272500,67500,20,40
277500,67500,15,40
282500,67500,15,35
287500,67500,15,35
292500,67500,15,35
187500,72500,20,40
192500,72500,20,40
197500,72500,20,40
202500,72500,20,40
207500,72500,20,40
212500,72500,20,40
217500,72500,20,40
222500,72500,20,40
227500,72500,20,40
232500,72500,20,40
237500,72500,20,40
242500,72500,20,40
247500,72500,20,40
252500,72500,20,40
257500,72500,20,40
262500,72500,20,40
267500,72500,20,40
272500,72500,20,40
277500,72500,15,40
282500,72500,15,35
287500,72500,15,35
292500,72500,15,35
367500,72500,15,40
187500,77500,20,40
192500,77500,20,40
197500,77500,20,40
202500,77500,20,40
207500,77500,20,40
212500,77500,20,40
217500,77500,20,40
222500,77500,20,40
227500,77500,20,40
232500,77500,20,40
237500,77500,20,40
242500,77500,20,40
247500,77500,20,40
252500,77500,20,40
257500,77500,20,40
262500,77500,20,40
267500,77500,20,40
272500,77500,20,40
277500,77500,20,40
282500,77500,15,35
287500,77500,15,35
292500,77500,15,35
297500,77500,15,35
367500,77500,15,35
392500,77500,15,40
397500,77500,15,40
402500,77500,15,40
447500,77500,15,40
452500,77500,15,40
457500,77500,15,40
202500,82500,20,40
207500,82500,20,40
212500,82500,20,40
217500,82500,20,40
222500,82500,20,40
227500,82500,20,40
232500,82500,20,40
237500,82500,20,35
242500,82500,20,35
247500,82500,20,40
252500,82500,20,40
257500,82500,20,40
262500,82500,20,40
267500,82500,20,40
272500,82500,20,40
277500,82500,15,35
282500,82500,15,35
287500,82500,15,35
292500,82500,15,35
297500,82500,15,35
302500,82500,15,35
307500,82500,15,35
357500,82500,15,35
362500,82500,15,35
367500,82500,15,35
372500,82500,15,40
377500,82500,15,40
382500,82500,15,40
387500,82500,15,40
392500,82500,15,40
397500,82500,15,40
402500,82500,15,40
